Zadejte pocet nadrzi:
Zadejte parametry nadrzi:
Zadejte objem vody:
h = 594.916540
h = 568.774879
h = 620.029557
h = 919.744186
h = 631.712644
h = 69.586889
h = 240.734450
h = 933.048173
h = 226.039461
h = 219.969201
h = 882.457968
h = 887.306343
h = 220.907603
h = 608.176190
h = 148.680000
h = 913.520802
h = 855.518857
h = 227.205486
h = 910.987970
h = 903.844836
h = 629.568144
h = 891.125234
h = 132.236515
h = 572.902415
h = 60.594173
h = 607.625397
h = 562.471820
h = 636.779146
h = 879.974214
h = 597.418311
h = 885.412584
h = 205.123188
h = 588.780426
h = 580.676651
h = 897.732256
h = 580.555878
h = 229.870549
h = 872.824000
h = 902.414586
h = 882.599794
h = 881.350696
h = 231.240616
h = 483.914773
h = 230.191049
h = 219.327719
h = 54.808533
h = 640.431856
h = 571.541707
h = 887.654461
h = 579.472786
h = 573.336554
h = 217.114533
h = 900.098385
h = 572.513688
h = 609.535714
h = 169.802439
h = 929.885382
h = 572.970048
h = 561.352657
h = 151.035000
h = 235.648701
h = 565.712721
h = 920.681063
h = 558.114530
h = 907.616040
h = 211.911433
h = 857.963429
h = 592.576104
h = 891.919626
h = 204.895330
h = 241.088517
h = 888.883445
h = 866.625714
h = 848.668625
h = 565.054428
h = 211.413849
h = 890.868892
h = 860.118857
h = 219.704524
h = 575.565217
h = 558.038462
h = 912.368421
h = 229.505294
h = 246.997608
h = 592.442962
h = 221.191530
h = 579.781643
h = 926.475637
h = 580.561031
h = 571.045411
h = 590.883063
h = 917.683208
h = 922.709302
h = 196.924390
h = 614.526273
h = 914.774436
h = 849.707403
h = 905.144862
h = 233.468720
h = 879.785972
h = 931.365449
h = 581.221256
h = 854.679201
h = 211.872786
h = 217.616939
h = 626.424466
h = 570.191626
h = 561.597424
h = 191.697561
h = 564.638969
h = 884.126354
h = 913.570927
h = 894.741067
h = 234.983157
h = 212.451691
h = 571.008374
h = 238.117225
h = 132.531120
h = 594.606980
h = 890.198665
h = 597.718766
h = 233.121270
h = 589.309183
h = 179.187805
h = 607.492857
h = 851.311986
h = 904.320301
